,open,high,low,close,volume,time,BB,A,g_buy,g_sell,pos,trade
2025-02-14,54.0,55.309999999999995,52.58,53.0,73431,1739462400000,53.0,53.388999999999996,0,0,0,
2025-02-17,53.0,54.07,51.47,51.81,71858,1739721600000,52.60333333333334,52.239999999999995,0,1,0,
2025-02-18,51.52,52.480000000000004,50.49,50.97,49636,1739808000000,52.0588888888889,51.183,0,0,0,
2025-02-19,50.97,55.63,50.75,54.73,88528,1739894400000,52.94925925925927,53.67,1,0,0,
2025-02-20,55.29,58.74,54.5,57.97,120270,1739980800000,54.62283950617285,57.164,0,0,1,BUY
2025-02-21,57.18,60.6,56.6,58.88,85469,1740067200000,56.04189300411524,58.484,0,0,1,
2025-02-24,58.89,70.0,57.9,64.0,153054,1740326400000,58.69459533607683,62.968,0,0,1,
2025-02-25,62.0,71.66,61.2,68.88,128741,1740412800000,62.08973022405122,67.014,0,0,1,
2025-02-26,68.0,71.34,67.94,69.89999999999999,100728,1740499200000,64.69315348270081,69.46799999999999,0,0,1,
2025-02-27,69.8,70.34,64.97,68.1,122034,1740585600000,65.8287689884672,68.351,0,0,1,
2025-02-28,66.0,68.09,64.45,65.16,86574,1740672000000,65.60584599231147,66.9179629121577,0,0,1,
2025-03-03,64.75,66.7,63.63,64.26,63432,1740931200000,65.15723066154098,66.4603752747718,0,0,1,
2025-03-04,63.61,66.3,63.5,64.98,52418,1741017600000,65.09815377436065,66.40011684984786,0,0,1,
2025-03-05,65.1,71.0,64.53,69.2,85703,1741104000000,66.46543584957378,68.093,0,0,1,
2025-03-06,70.49,83.04,69.25,83.04,164039,1741190400000,71.99029056638253,79.151,0,0,1,
2025-03-07,83.0,95.8,81.5,90.0,191108,1741276800000,77.99352704425502,88.33,0,0,1,
2025-03-10,89.0,89.0,82.88,83.86,108213,1741536000000,79.94901802950335,85.304,0,0,1,
2025-03-11,83.86,86.58,82.19,86.41,85373,1741622400000,82.10267868633557,85.495,0,0,1,
2025-03-12,86.3,87.68,83.45,84.02,57018,1741708800000,82.74178579089038,84.785,0,0,1,
2025-03-13,84.08,85.83,80.45,81.68,89199,1741795200000,82.38785719392692,82.452,0,0,1,
2025-03-14,82.0,82.56,79.0,81.6,67300,1741881600000,82.12523812928461,83.7677428918703,0,0,1,
2025-03-17,82.5,83.0,76.13,76.5,113318,1742140800000,80.25015875285641,78.313,0,1,1,
2025-03-18,77.0,79.3,76.41,77.8,71890,1742227200000,79.43343916857094,77.651,0,0,0,SELL
